Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cpsc12at03.csv,,,,,,,,,,,,,,,
"Appendix table 3. Capacity of problem-solving courts, by type of court, 2012",,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Appendix table 3. Capacity of problem-solving courts, by type of court, 2012",,,,,,,,,,,,,,,
Type of court,,Total,,9 or fewer,,10–19,,20–49,,50–99,,100–499,,500 or more,
,All courts,100,%,3.2,%,17.1,%,40.4,%,20.1,%,16.8,%,2.4,%
Drug,,100,,2.1,,16.1,,42.2,,21.7,,16.3,,1.6,
Mental health,,100,,2,,17.3,,45.8,,20.7,,12.9,,1.4,
Family ,,100,,3.5,,34.4,,44.1,,12.8,,5.3,,0,
Youth specialty,,100,,14.3,,20.9,,33.5,,13.7,,13.2,,4.4,
Hybrid DWI/drug/a,,100,,1.6,,15.2,,40.3,,24.1,,15.7,,3.1,
DWI,,100,,1.1,,12.1,,42,,20.1,,22.4,,2.3,
Domestic violence,,100,,3,,5.3,,18.2,,18.9,,43.2,,11.4,
Veterans,,100,,3.3,,11.6,,41.3,,24,,18.2,,1.7,
Tribal wellness,,100,,13.6,,27.3,,54.5,,4.5,,0,,0,
Other/b,,100,,0.9,,13.6,,33.6,,20.9,,26.4,,4.5,
Note: Detail may not sum to total due to rounding. Percentages are based on 94.3% item response rate.,,,,,,,,,,,,,,,
a/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,,,,
b/Includes other courts not shown.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,
