Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cpsc12at04.csv,,,,,,,,,,,,,,,
"Appendix table 4. Number of active participants, by type of problem-solving court, 2012",,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Appendix table 4. Number of active participants, by type of problem-solving court, 2012",,,,,,,,,,,,,,,
Type of court,,Total,,9 or fewer,,10–19,,20–49,,50–99,,100–499,,500 or more,
,All courts,100,%,18.5,%,22.1,%,30.6,%,13.5,%,13.1,%,2.2,%
Drug,,100,,17.8,,22.1,,33.2,,14.1,,11.4,,1.3,
Mental health,,100,,16.2,,21.8,,38,,11.6,,11.9,,0.7,
Family ,,100,,36.3,,29.1,,23.9,,7.3,,3.4,,0,
Youth specialty,,100,,27,,20.6,,25.4,,10.1,,14.3,,2.6,
Hybrid DWI/drug/a,,100,,11.9,,24.9,,33.7,,17.1,,12.4,,0,
DWI,,100,,6.8,,23.7,,34.5,,18.1,,14.7,,2.3,
Domestic violence,,100,,5.5,,8.9,,15.8,,17.1,,37,,15.8,
Veterans,,100,,25.4,,20.5,,28.7,,13.9,,9.8,,1.6,
Tribal wellness,,100,,52.2,,39.1,,4.3,,0,,4.3,,0,
Other/b,,100,,10.7,,19.8,,23.1,,16.5,,24.8,,5,
Note: Detail may not sum to total due to rounding. Percentages are based on 97.8% item response rate.,,,,,,,,,,,,,,,
a/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,,,,
b/Includes other courts not shown.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,
