Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cpsc12at05.csv,,,,,,,,,,,,,,,
"Appendix table 5. Standard errors for table 8: Preliminary reviews and attendance, by type of problem-solving court, 2012",,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Appendix table 5. Standard errors for table 8: Preliminary reviews and attendance, by type of problem-solving court, 2012",,,,,,,,,,,,,,,
,,Preliminary ,,,,,,,,,,,,,
Type of court,,review was held,,Judge,,Prosecutor,,Defense attorney,,Service provider,,Probation officer,,Law enforcement officer,
,All courts,0.18,%,0.17,%,0.24,%,0.24,%,0.16,%,0.19,%,0.27,%
Drug,,0.14,,0.15,,0.28,,0.27,,0.2,,0.18,,0.35,
Mental health,,0.4,,0.51,,0.68,,0.64,,0.3,,0.58,,0.7,
Family ,,0.3,,0.56,,0.99,,0.93,,0.44,,0.87,,0.78,
Youth specialty,,1.47,,2.35,,2.3,,2.21,,2,,2.34,,2.08,
Hybrid DWI/drug,,0.34,,0.25,,0.93,,0.97,,0.39,,0.43,,1.2,
DWI,,0.18,,0.19,,0.4,,0.41,,0.25,,0.21,,0.56,
Domestic violence,,1.2,,1.6,,1.4,,1.76,,1.51,,1.4,,1.31,
Veterans,,0.68,,0.63,,0.77,,0.71,,0.67,,0.54,,1.28,
Tribal wellness,,0,,0,,2.76,,3.62,,0,,1.67,,3.8,
Other,,1.66,,1.65,,2.12,,2.09,,1.39,,1.84,,2.06,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,
