Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: cpsc12at11.csv,,,,,,,,,,,,,,,,
"Appendix table 11. Adult and juvenile drug and mental health problem-solving court programs, by case characteristics and outcomes, 2012",,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Appendix table 11. Adult and juvenile drug and mental health problem-solving court programs, by case characteristics and outcomes, 2012",,,,,,,,,,,,,,,,
,,,,Drug courts,,,,,,,Mental health courts,,,,,
Case characteristic and outcome,,All courts,,Total,,Adult*,,Juvenile,,,Total,,Adult*,,Juvenile,
Point of entry/a,,,,,,,,,,,,,,,,
,Pre-plea or case filing,35.5,%,27.1,%,26.8,%,27.8,%,,44.1,%,44.7,%,38.7,%**
,Post-plea,65.1,,73.9,,79.6,,58.1,**,,73.1,,74.4,,61.3,**
,Post-sentence or release,35.7,,44.5,,39.4,,58.9,**,,41.1,,38,,67.7,**
,Judicial order,8.5,,2.1,,1.5,,4.1,**,,3.7,,3,,9.7,**
,Other,2.4,,0.9,,0.7,,1.6,**,,0.7,,0.8,,0,**
"Time in program/b,c",,,,,,,,,,,,,,,,
,All,100,%,100,%,100,%,100,%,,100,%,100,%,100,%
,5 months or less,20.6,,12.6,,11.5,,15.4,**,,16.2,,16.6,,13,
,6–11 months,27.9,,28.1,,19.7,,50,**,,35.3,,32.6,,56.5,**
,12–23 months,44.5,,49,,55.2,,32.9,**,,43.1,,44.8,,30.4,**
,24–35 months,5.3,,7.6,,10.1,,1.3,**,,4.9,,5.5,,0,**
,36 months or more,1.7,,2.7,,3.5,,0.4,**,,0.5,,0.6,,0,**
Percent of participants successfully completing program/b,,,,,,,,,,,,,,,,
,All,100,%,100,%,100,%,100,%,,100,%,100,%,100,%
,None,7.9,,6.7,,6.5,,7.2,,,8.9,,9.4,,4.2,**
,1–25%,5.5,,5.6,,5.1,,6.9,**,,6.5,,6.7,,4.2,**
,24–50%,29.2,,35.2,,35.3,,35.1,,,30,,29.6,,33.3,
,51–75%,32.1,,35.8,,37,,32.4,**,,30.8,,29.1,,45.8,**
,76–99%,17.1,,10.9,,11.4,,9.4,**,,15.8,,16.6,,8.3,**
,100%,8.2,,5.8,,4.7,,9,**,,8.1,,8.5,,4.2,**
Benefit of successful completion/a,,,,,,,,,,,,,,,,
,Case dismissed,61.3,%,65.2,%,64.7,%,66.4,%**,,74.1,%,74.5,%,71,%
,Sentence suspended,39.5,,42.6,,46.7,,31.3,**,,48.6,,51.4,,25.8,**
,Record expunged,22.4,,26.8,,24.9,,32.3,**,,22.1,,22,,22.6,
,Expedited settlement,11.1,,7.6,,7.7,,7.4,,,12.1,,13.1,,3.2,**
,Other,34,,28.8,,29.9,,25.9,**,,28.3,,25.9,,48.4,**
Track after exit,,,,,,,,,,,,,,,,
,Yes,44.1,%,50.6,%,51.8,%,47.5,%**,,42.6,%,40.6,%,59.4,%**
Note: Percentages for point of entry are based on item response rates of 96.8% for drug and 95.5% for mental health courts. Percentages for successful completion are based on item response rates of 86.3% for drug and 79.5% for mental health courts. Percentages for benefits of completion are based on item response rates of 93.6% for drug and 93.2% for mental health courts. Percentages for tracking after exit are based on item response rate of 97.3% for drug and 95.8% for mental health courts. See appendix table 12 for standard errors.,,,,,,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,,,,,,
**Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,,,,,,,
a/Detail may sum to more than 100% because multiple responses were allowed. ,,,,,,,,,,,,,,,,
b/Detail may not sum to total due to rounding. ,,,,,,,,,,,,,,,,
c/Percentages are based on item response rates of 69.5% for drug and 65.6% for mental health courts. Interpret with caution.,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,
