Bureau of Justice Statistics,,,
Filename: cpsc12at20.csv,,,
"Appendix table 20. Standard errors for figure 4: Tracking participants after successful program completion, by type of problem-solving court, 2012",,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,
"Data source: Census of Problem-Solving Courts, 2012",,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,
Date of version: 09/07/2016,,,
,,,
"Appendix table 20. Standard errors for figure 4: Tracking participants after successful program completion, by type of problem-solving court, 2012",,,
Type of court,,Tracks graduates,
,All courts,0.27,%
Drug,,0.37,
Mental health,,0.8,
Family ,,1,
Youth specialty,,1.33,
Hybrid DWI/drug,,1.2,
DWI,,0.55,
Domestic violence,,0.77,
Veterans,,1.23,
Tribal wellness,,4.17,
Other,,1.74,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,
