Bureau of Justice Statistics,,,,,,,,,,,,
Filename: cpsc12t01.csv,,,,,,,,,,,,
"Table 1. Problem-solving courts, by state and selected U.S. territories, 2012",,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 1. Problem-solving courts, by state and selected U.S. territories, 2012",,,,,,,,,,,,
,,,,,,,Hybrid ,,,,,
Jurisdiction,,All courts,Drug,Mental health,Family ,Youth specialty,DWI/drug/a,DWI,Domestic violence,Veterans,Tribal wellness,Other/b
,Total,"3,052","1,330",337,261,244,217,183,170,133,31,146
Alabama,,86,54,7,8,4,0,0,8,2,1,2
Alaska,,20,0,4,2,6,2,4,0,1,0,1
Arizona,,70,31,7,2,7,3,1,6,2,2,9
Arkansas,,55,49,1,0,3,0,0,1,1,0,0
California,,208,83,42,26,6,0,11,6,12,1,21
Colorado,,85,33,6,13,14,3,8,0,1,1,6
Connecticut,,17,3,0,0,0,0,0,12,0,0,2
Delaware,,26,9,7,0,3,0,0,3,1,0,3
District of Columbia,,11,1,1,0,0,0,0,1,0,0,8
Florida,,164,68,22,17,38,0,4,5,8,0,2
Georgia,,93,40,15,7,1,2,15,0,2,0,11
Guam,,5,2,1,0,0,0,1,1,0,0,0
Hawaii,,14,6,1,2,2,0,0,3,0,0,0
Idaho,,70,28,10,4,3,11,6,5,3,0,0
Illinois,,97,45,20,1,8,0,1,9,12,0,1
Indiana,,64,36,3,4,7,1,0,0,4,0,9
Iowa,,34,18,2,12,1,0,1,0,0,0,0
Kansas,,15,10,0,0,1,0,0,2,0,2,0
Kentucky,,78,52,3,0,22,0,0,0,1,0,0
Louisiana,,54,38,2,2,3,0,5,0,1,0,3
Maine,,9,5,1,3,0,0,0,0,0,0,0
Maryland,,52,31,3,5,9,0,3,0,0,0,1
Massachusetts,,23,16,3,0,0,2,0,0,1,0,1
Michigan,,141,46,11,12,7,16,20,14,9,4,2
Minnesota,,44,16,2,6,2,5,7,1,3,2,0
Mississippi,,42,18,1,2,9,10,0,1,0,0,1
Missouri,,137,62,9,12,3,23,19,4,4,0,1
Montana,,21,9,2,1,1,1,4,0,1,1,1
Nebraska,,21,13,0,6,1,0,1,0,0,0,0
Nevada,,54,17,4,3,1,9,9,0,4,0,7
New Hampshire,,23,6,11,0,3,1,0,0,0,0,2
New Jersey,,27,23,1,2,0,0,0,0,0,0,1
New Mexico,,57,26,6,3,1,6,7,3,1,2,2
New York,,188,50,11,21,7,18,1,59,11,0,10
North Carolina,,54,15,6,7,18,0,5,1,0,1,1
North Dakota,,10,10,0,0,0,0,0,0,0,0,0
Ohio,,99,39,31,14,4,1,2,1,3,0,4
Oklahoma,,72,20,13,4,2,30,1,0,0,2,0
Oregon,,75,34,11,10,2,4,3,5,2,0,4
Pennsylvania,,85,27,15,3,4,7,10,1,13,0,5
Puerto Rico,,17,11,0,0,2,2,0,2,0,0,0
Rhode Island,,7,5,0,1,1,0,0,0,0,0,0
South Carolina,,28,21,3,0,2,1,0,1,0,0,0
South Dakota,,10,2,0,0,2,0,2,0,0,4,0
Tennessee,,46,24,3,1,3,10,3,0,2,0,0
Texas,,153,42,10,13,16,25,13,6,10,1,17
Utah,,58,25,10,16,1,4,0,0,1,0,1
Vermont,,6,4,1,1,0,0,0,0,0,0,0
Virginia,,42,28,4,2,0,0,2,3,0,0,3
Washington,,71,29,8,11,4,1,2,5,6,4,1
West Virginia,,33,23,0,0,2,6,0,0,1,0,1
Wisconsin,,63,18,3,2,7,8,11,1,10,2,1
Wyoming,,18,9,0,0,1,5,1,0,0,1,1
Note: Counts of courts may vary from other sources due to categorical differences. See Methodology.,,,,,,,,,,,,
a/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,
b/Includes various specialty courts.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,
