Bureau of Justice Statistics,,,,,,,,,,,
Filename: cpsc12t02.csv,,,,,,,,,,,
"Table 2. Population of problem-solving court service areas, by type of court, 2012",,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,
,,,,,,,,,,,
"Table 2. Population of problem-solving court service areas, by type of court, 2012",,,,,,,,,,,
Type of court,,Total,,"50,000 or fewer",,"50,001–100,000",,"100,001–500,000",,"More than 500,000",
,All courts/a,100,%,23.6,%,15,%,35.7,%,25.6,%
Drug,,100,%,30,,17.5,,33.6,,18.9,
Mental health,,100,%,7.7,,11.3,,45.4,,35.6,
Family ,,100,%,16.5,,13.4,,43.7,,26.4,
Youth specialty,,100,%,25,,18,,34.8,,22.1,
Hybrid DWI/drug/b,,100,%,50.2,,17.1,,22.1,,10.6,
DWI,,100,%,21.9,,15.3,,39.3,,23.5,
Domestic violence,,100,%,9.4,,10,,41.8,,38.8,
Veterans,,100,%,3,,9,,39.1,,48.9,
Other/c,,100,%,11,,6.8,,26,,56.2,
Note: Detail may not sum to total due to rounding.,,,,,,,,,,,
a/Excludes tribal wellness courts because population of area served was unavailable.,,,,,,,,,,,
b/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,
c/Includes other courts not shown.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012 and the U.S. Census Bureau.",,,,,,,,,,,
