Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: cpsc12t07.csv,,,,,,,,,,,,,,,,,,
"Table 7. Characteristics of status hearings, by type of problem-solving court, 2012",,,,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 7. Characteristics of status hearings, by type of problem-solving court, 2012",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,Frequency of status hearings/a,,,,,,,,,,,Status hearing interaction ,,,
,,,,More than ,,,,,,,,,,,Participant ,,,
Type of court,,Daily,,once per week,,Weekly,,More than once per month,,Monthly,,Other,,,required to attend/b,,Judge interacted directly with participant/c,
,All courts,4.4,%,6.6,%,52.1,%,27.8,%,6.9,%,2.2,%,,90.9,%,99,%
Drug,,2.4,,6.2,,59.2,,26.4,,3.6,,2.1,,,97.1,,99.1,
Mental health,,0.7,,5.6,,56.3,,25.7,,8.9,,3,,,97.6,,99.7,
Family ,,0.4,,4.8,,62.6,,29.6,,1.3,,1.3,,,96.5,,99.5,
Youth specialty,,4,,8,,21,,33.5,,29.5,,4,,,41.8,,89.9,
Hybrid DWI/drug/d,,2.6,,6.8,,53.6,,32.3,,4.7,,0,,,97.4,,100,
DWI,,2.2,,6.7,,43.6,,44.7,,2.8,,0,,,97.2,,100,
Domestic violence,,27.6,,15.1,,35.5,,16.4,,3.3,,2,,,79.6,,98.3,
Veterans,,2.5,,2.5,,49.2,,30.3,,13.1,,2.5,,,95.9,,100,
Tribal wellness,,3.8,,7.7,,57.7,,23.1,,3.8,,3.8,,,100,,100,
Other/e,,19,,6.6,,40.5,,15.7,,12.4,,5.8,,,77.5,,98.9,
Note: Detail may not sum to total due to rounding. ,,,,,,,,,,,,,,,,,,
a/Percentages for frequency of status hearing are based on 98.3% item response rate.,,,,,,,,,,,,,,,,,,
"b/Percentages for participants, presence at status hearing are based on 96.9% item response rate.",,,,,,,,,,,,,,,,,,
c/Percentages for status hearing interactions are based on 88.1% item response rate.,,,,,,,,,,,,,,,,,,
d/Handles alcohol- or drug-dependent offenders also charged with a driving offense. ,,,,,,,,,,,,,,,,,,
e/Includes other courts not shown.,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,,,
