Bureau of Justice Statistics,,,,,,,,,,,
Filename: cpsc12t12.csv,,,,,,,,,,,
"Table 12. Benefits of successful program completion, by type of problem-solving court, 2012",,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,
,,,,,,,,,,,
"Table 12. Benefits of successful program completion, by type of problem-solving court, 2012",,,,,,,,,,,
Type of court,,Case dismissed,,Sentence suspended,,Record expunged,,Expedited settlement,,Other/a,
,All courts,61.3,%,39.5,%,22.4,%,11.1,%,34,%
Drug,,65.2,,42.6,,26.8,,7.6,,28.8,
Mental health,,74.1,,48.6,,22.1,,12.1,,28.3,
Family ,,45.5,,10.3,,3.6,,33.5,,57.6,
Youth specialty,,75.5,,11.7,,36.7,,4.3,,18.6,
Hybrid DWI/drug/b,,56.6,,54.4,,24.2,,13.7,,36.8,
DWI,,13.5,,49.7,,4.3,,7.4,,49.7,
Domestic violence/c,,49.3,,41.3,,21.7,,13,,44.9,
Veterans,,80,,55,,22.5,,11.7,,35.8,
Tribal wellness,,78.3,,65.2,,21.7,,4.3,,8.7,
Other/d,,58.7,,33,,12.8,,11,,45.9,
Note: Detail may sum to more than 100% because multiple responses were allowed. Percentages are based on 93.1% item response rate. See appendix table 19 for standard errors.,,,,,,,,,,,
"a/Includes benefits such as case closure, charge reduction, and successful completion of probation. ",,,,,,,,,,,
b/Handles alcohol- or drug-dependent offenders also charged with a driving offense. ,,,,,,,,,,,
c/Six percent of domestic violence courts indicated the court is mandated and reported no additional benefits associated with court completion.,,,,,,,,,,,
d/Includes other courts not shown.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,
