Bureau of Justice Statistics,,,,,,,,,,,
Filename: cpsc12at01.csv,,,,,,,,,,,
"Appendix table 1. Standard errors table for table 3: Year problem-solving courts were established, by type of court",,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 1. Standard errors table for table 3: Year problem-solving courts were established, by type of court",,,,,,,,,,,
Type of court,1989–95,,,1996–2000,,2001–05,,2006–10,,2011–12,
,All courts,0.14,%,0.21,%,0.25,%,0.26,%,0.18,%
Drug,,0.18,,0.31,,0.34,,0.31,,0.19,
Mental health,,0.2,,0.42,,0.71,,0.79,,0.52,
Family,,0.25,,0.56,,0.97,,0.97,,0.52,
Youth specialty,,1.21,,1.29,,1.06,,1.26,,0.89,
Hybrid DWI/drug,,0.38,,0.91,,1.19,,1.09,,0.64,
DWI,,0,,0.3,,0.44,,0.55,,0.43,
Domestic violence,,0.54,,0.88,,1.15,,1.15,,0.69,
Veterans,,0.22,,0.44,,0.54,,1.2,,1.24,
Tribal wellness,,0,,3.17,,3.71,,3.82,,2.9,
Other,,0.74,,0.97,,1.6,,1.8,,1.62,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,
