Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename: cpsc12at06.csv,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 6. Services commonly used by problem-solving court participants, by type of court, 2012",,,,,,,,,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 6. Services commonly used by problem-solving court participants, by type of court, 2012",,,,,,,,,,,,,,,,,,,,,,,
Type of service,,All courts,,Drug,,Mental health,,Family ,,Youth specialty,,Hybrid DWI/drug/a,,DWI,,Domestic violence,,Veterans,,Tribal wellness,,Other/b,
Treatment,,,,,,,,,,,,,,,,,,,,,,,
,Substance abuse,86.8,%,95.5,%,77.1,%,97.4,%,40.8,%,94.8,%,94.4,%,64.5,%,95.1,%,96.2,%,78,%
,Integrated substance abuse and mental health treatment,60.4,,62.5,,85.5,,70.9,,20.7,,56.8,,51.1,,36.8,,84.4,,61.5,,49.2,
,Medication as a treatment strategy,28.1,,22.5,,59.9,,37.9,,8.2,,29.2,,19.7,,13.2,,51.6,,30.8,,25.4,
Counseling,,,,,,,,,,,,,,,,,,,,,,,
,Individual,89.2,%,94,%,94.9,%,94.7,%,65.2,%,95.3,%,90.4,%,63.2,%,95.9,%,96.2,%,72,%
,Outpatient,59.5,,56.1,,97,,62.1,,28.8,,51,,44.4,,51.3,,89.3,,61.5,,63.6,
,Cognitive behavioral therapy,57.3,,60.1,,72.7,,64.3,,19.6,,66.1,,57.3,,27.6,,73,,57.7,,50,
,Crisis stabilization,32.2,,25.8,,79.5,,33.9,,9.2,,27.6,,22.5,,16.4,,50,,42.3,,33.9,
,Inpatient mental health treatment,27.6,,21.1,,66.3,,22.5,,9.8,,18.2,,18,,19.1,,68,,38.5,,32.2,
Personal,,,,,,,,,,,,,,,,,,,,,,,
,Life skills,71.8,%,73.5,%,80.5,%,91.6,%,62.5,%,73.4,%,59,%,39.5,%,67.2,%,73.1,%,71.2,%
,GED class,56.7,,66.8,,49.2,,59,,23.4,,75.5,,48.3,,21.1,,45.9,,73.1,,61,
,Job training and employment readiness program,53.9,,58.4,,56.6,,61.7,,17.4,,59.4,,52.2,,16.4,,73.8,,69.2,,66.1,
,Transportation,50.7,,48.8,,76.4,,74.9,,20.1,,46.9,,51.7,,11.2,,64.8,,65.4,,50,
,Locating housing,50.3,,44.8,,79.8,,81.1,,7.6,,56.3,,46.1,,15.8,,79.5,,53.8,,55.1,
,Accessing benefits,48.5,,42.2,,82.2,,72.7,,12,,56.8,,39.3,,14.5,,81.1,,38.5,,54.2,
,Health education,32.3,,34.2,,40.1,,41.9,,16.8,,35.9,,28.1,,5.3,,36.1,,38.5,,31.4,
,Financial counseling,25.2,,23.7,,30,,34.8,,4.3,,43.8,,28.7,,2,,33.6,,23.1,,29.7,
,Civil legal assistance,13.7,,9.8,,16.8,,19.4,,3.3,,16.1,,14.6,,17.1,,25.4,,38.5,,22.9,
,Cultural-specific services,12.5,,11.3,,12.5,,17.6,,9.8,,9.4,,16.3,,6.6,,11.5,,73.1,,12.7,
Victim or offender support,,,,,,,,,,,,,,,,,,,,,,,
,Anger management,49.3,%,47.1,%,51.9,%,53.3,%,54.3,%,52.6,%,26.4,%,55.9,%,70.5,%,65.4,%,41.5,%
,Batterer,14.7,,6.4,,10.8,,27.8,,2.7,,9.9,,4.5,,88.8,,32,,26.9,,9.3,
Note: Detail may sum to more than 100% because multiple responses were allowed. Percentages are based on 96.7% item response rate.,,,,,,,,,,,,,,,,,,,,,,,
a/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,,,,,,,,,,,,
b/Includes other courts not shown.,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,,,,,,,,
