Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: cpsc12at07.csv,,,,,,,,,,,,,,,,
"Appendix table 7. Admissions and exits to drug and mental health problem-solving courts, by type of court and population served, 2012",,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Appendix table 7. Admissions and exits to drug and mental health problem-solving courts, by type of court and population served, 2012",,,,,,,,,,,,,,,,
,,,,Drug courts,,,,,,,Mental health courts,,,,,
Active participants,,All courts,,Total,,Adult*,,Juvenile,,,Total,,Adult*,,Juvenile,
Admissions,,100,%,100,%,100,%,100,%,,100,%,100,%,100,%
,9 or fewer,19.4,,19.7,,15.9,,30.4,**,,19.6,,18.3,,30,**
,10–19,23.1,,25.3,,22.1,,34.3,**,,22.8,,21.5,,33.3,**
,20–49,29.8,,32.1,,33.8,,27,**,,32.6,,32.9,,30,
,50–99,13.2,,13,,15.6,,5.5,**,,12,,12.6,,6.7,**
,100 or more,14.5,,10,,12.5,,2.8,**,,13,,14.6,,0,**
Exits,,100,%,100,%,100,%,100,%,,100,%,100,%,100,%
,9 or fewer,31,,29.3,,23.5,,45.8,**,,33.2,,31,,51.7,**
,10–19,21.9,,23,,22.3,,25.3,**,,25,,25.9,,17.2,**
,20–49,25.3,,29,,30.9,,23.7,**,,25.4,,25.1,,27.6,
,50–99,11.1,,11.4,,14.3,,2.8,**,,9.3,,10,,3.4,**
,100 or more,10.7,,7.3,,9,,2.5,**,,7.1,,7.9,,0,**
"Note: Includes data from January 1 to December 31, 2012. Detail may not sum to total due to rounding. Percentages for admissions are based on item response rates of 91.1% for drug and 88.7% for mental health courts. Percentages for exits are based on item response rates of 90.0% for drug and 86.1% for mental health courts. See appendix table 8 for standard errors.",,,,,,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,,,,,,
**Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,
