Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: cpsc12at14.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 14. Percent and standard errors of total budget from state sources, by type of problem-solving court, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 14. Percent and standard errors of total budget from state sources, by type of problem-solving court, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,None,,1–25%,,26–50%,,51–75%,,76–99%,,100%,,,,,,,,,,,,,,,,,,
Type of court,Percent,Standard error,,Percent,Standard error,,Percent,Standard error,,Percent,Standard error,,Percent,Standard error ,,Percent,Standard error,,,,,,,,,,,,,
,All courts,39.6,%,0.3,%,,9.8,%,0.18,%,,9.2,%,0.17,%,,9.1,%,0.17,%,,9.8,%,0.18,%,,22.5,%,0.26,%
Drug,27.9,,0.37,,,11.5,,0.27,,,10.9,,0.25,,,10.8,,0.25,,,12,,0.26,,,26.8,,0.36,,
Mental health,57.2,,0.91,,,7,,0.47,,,4.8,,0.39,,,7,,0.47,,,8.3,,0.51,,,15.7,,0.67,,
Family ,41.5,,1.11,,,10.9,,0.7,,,10.9,,0.7,,,7.7,,0.6,,,5.5,,0.51,,,23.5,,0.95,,
Youth specialty,61.3,,1.61,,,4.5,,0.69,,,5.8,,0.77,,,3.2,,0.58,,,7.7,,0.88,,,17.4,,1.25,,
Hybrid DWI/druga,19.7,,1.01,,,11,,0.79,,,15,,0.91,,,19.1,,1,,,17.3,,0.96,,,17.9,,0.97,,
DWI,36.6,,0.58,,,17,,0.45,,,13.7,,0.41,,,7.8,,0.32,,,11.8,,0.39,,,13.1,,0.4,,
Domestic violence,50.9,,1.42,,,0.9,,0.27,,,1.8,,0.38,,,4.5,,0.59,,,0.9,,0.27,,,40.9,,1.4,,
Veterans,64.4,,1.39,,,10,,0.87,,,4.4,,0.6,,,2.2,,0.43,,,4.4,,0.6,,,14.4,,1.02,,
Tribal wellness,95,,2,,,0,,0,,,0,,0,,,5,,2,,,0,,0,,,0,,0,,
Otherb,61.7,,2.04,,,6.4,,1.03,,,3.2,,0.74,,,6.4,,1.03,,,4.3,,0.85,,,18.1,,1.62,,
Note: Detail may not sum to total due to rounding. Percentages based on 77.9% item response rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aHandles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bIncludes other courts not shown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
