Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: cpsc12at15.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 15. Percent and standard errors of total budget from local sources, by type of problem-solving court, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 15. Percent and standard errors of total budget from local sources, by type of problem-solving court, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,None,,,,,1–25%,,,,,26–50%,,,,,51–75%,,,,,76–99%,,,,,100%,,,
Type of court,,Percent,,Standard error,,,Percent,,Standard error,,,Percent,,Standard error,,,Percent,,Standard error,,,Percent,,Standard error ,,,Percent,,Standard error,
,All courts,59.6,%,0.31,%,,12.8,%,0.2,%,,7.2,%,0.16,%,,5,%,0.14,%,,4.2,%,0.14,%,,11.2,%,0.21,%
Drug,,61.4,,0.4,,,14.2,,0.28,,,8.4,,0.23,,,5.7,,0.2,,,4.4,,0.18,,,5.9,,0.2,
Mental health,,55.5,,0.91,,,11.8,,0.59,,,7.4,,0.48,,,3.5,,0.34,,,2.6,,0.29,,,19.2,,0.72,
Family ,,59.6,,1.1,,,10.4,,0.69,,,8.7,,0.63,,,4.4,,0.46,,,6,,0.53,,,10.9,,0.7,
Youth specialty,,48.4,,1.65,,,7.1,,0.85,,,7.7,,0.88,,,6.5,,0.81,,,6.5,,0.81,,,23.9,,1.41,
Hybrid DWI/drug/a,,59,,1.25,,,23.7,,1.08,,,7.5,,0.67,,,3.5,,0.46,,,2.3,,0.38,,,4,,0.5,
DWI,,59.5,,0.59,,,17.6,,0.46,,,3.9,,0.23,,,6.5,,0.3,,,2.6,,0.19,,,9.8,,0.36,
Domestic violence,,76.4,,1.21,,,3.6,,0.53,,,0.9,,0.27,,,3.6,,0.53,,,1.8,,0.38,,,13.6,,0.98,
Veterans,,53.3,,1.45,,,12.2,,0.95,,,7.8,,0.78,,,5.6,,0.66,,,4.4,,0.6,,,16.7,,1.08,
Tribal wellness,,85,,3.27,,,5,,2,,,0,,0,,,0,,0,,,10,,2.75,,,0,,0,
Other/b,,54.3,,2.09,,,2.1,,0.61,,,4.3,,0.85,,,2.1,,0.61,,,6.4,,1.03,,,30.9,,1.94,
Note: Detail may not sum to total due to rounding. Percentages based on 77.9% item response rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes other courts not shown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
