Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: cpsc12a16.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 16. Percent and standard errors of total budget from fees or fines, by type of problem-solving court, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 16. Percent and standard errors of total budget from fees or fines, by type of problem-solving court, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,None,,,,,1–25%,,,,,26–50%,,,,,51–75%,,,,,76–99%,,,,,100%,,,
Type of court,,Percent,,Standard error,,,Percent,,Standard error,,,Percent,,Standard error,,,Percent,,Standard error,,,Percent,,Standard error ,,,Percent,,Standard error,
,All courts,72,%,0.26,%,,19.8,%,0.23,%,,3.5,%,0.11,%,,1.3,%,0.06,%,,1.2,%,0.06,%,,2.2,%,0.1,%
Drug,,65.4,,0.38,,,25.4,,0.35,,,4.3,,0.16,,,1.7,,0.1,,,1.4,,0.09,,,1.6,,0.1,
Mental health,,90.4,,0.54,,,7,,0.47,,,1.7,,0.24,,,0.4,,0.12,,,0.4,,0.12,,,0,,0,
Family ,,90.7,,0.65,,,6,,0.53,,,2.2,,0.33,,,0,,0,,,0,,0,,,1.1,,0.23,
Youth specialty,,78.7,,1.35,,,14.2,,1.15,,,1.9,,0.45,,,0.6,,0.26,,,0,,0,,,4.5,,0.69,
Hybrid DWI/drug/a,,46.8,,1.26,,,41,,1.25,,,5.2,,0.56,,,2.9,,0.42,,,2.3,,0.38,,,1.7,,0.33,
DWI,,54.9,,0.6,,,27.5,,0.53,,,5.9,,0.28,,,2.6,,0.19,,,4.6,,0.25,,,4.6,,0.25,
Domestic violence,,86.4,,0.98,,,5.5,,0.65,,,2.7,,0.46,,,0,,0,,,0.9,,0.27,,,4.5,,0.59,
Veterans,,83.3,,1.08,,,10,,0.87,,,2.2,,0.43,,,0,,0,,,0,,0,,,4.4,,0.6,
Tribal wellness,,80,,3.66,,,15,,3.27,,,0,,0,,,0,,0,,,0,,0,,,5,,2,
Other/b,,87.2,,1.4,,,7.4,,1.1,,,2.1,,0.61,,,0,,0,,,0,,0,,,3.2,,0.74,
Note: Detail may not sum to total due to rounding. Percentages based on 77.9% item response rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes other courts not shown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
