Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: cpsc12at17.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 17. Percent and standard errors of total budget from other sources, by type of problem-solving court, 2012a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 17. Percent and standard errors of total budget from other sources, by type of problem-solving court, 2012a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,None,,,,,1–25%,,,,,26–50%,,,,,51–75%,,,,,76–99%,,,,,100%,,,
Type of court,,Percent,,Standard error,,,Percent,,Standard error,,,Percent,,Standard error,,,Percent,,Standard error,,,Percent,,Standard error ,,,Percent,,Standard error,
,All courts,72.3,%,0.28,%,,12.7,%,0.21,%,,4.5,%,0.14,%,,1.5,%,0.08,%,,2.6,%,0.1,%,,6.4,%,0.16,%
Drug,,76.4,,0.34,,,13.3,,0.27,,,3.8,,0.16,,,1,,0.09,,,2.7,,0.13,,,2.8,,0.13,
Mental health,,61.6,,0.89,,,13.5,,0.63,,,4.4,,0.38,,,0.9,,0.17,,,3.5,,0.34,,,16.2,,0.68,
Family ,,71,,1.02,,,12,,0.73,,,5.5,,0.51,,,1.6,,0.29,,,2.7,,0.37,,,7.1,,0.58,
Youth specialty,,63.9,,1.59,,,11,,1.03,,,10.3,,1,,,2.6,,0.52,,,3.2,,0.58,,,9,,0.95,
Hybrid DWI/drug/b,,71.7,,1.14,,,16.8,,0.95,,,4,,0.5,,,2.9,,0.42,,,2.3,,0.38,,,2.3,,0.38,
DWI,,71.9,,0.54,,,14.4,,0.42,,,5.9,,0.28,,,0.7,,0.1,,,0.7,,0.1,,,6.5,,0.3,
Domestic violence,,81.8,,1.1,,,0.9,,0.27,,,1.8,,0.38,,,0,,0,,,1.8,,0.38,,,13.6,,0.98,
Veterans,,68.9,,1.34,,,8.9,,0.83,,,4.4,,0.6,,,3.3,,0.52,,,3.3,,0.52,,,11.1,,0.91,
Tribal wellness,,40,,4.49,,,30,,4.2,,,5,,2,,,0,,0,,,5,,2,,,20,,3.66,
Otherc,,75.5,,1.81,,,11.7,,1.35,,,2.1,,0.61,,,3.2,,0.74,,,2.1,,0.61,,,5.3,,0.94,
Note: Detail may not sum to total due to rounding. Percentages based on 77.9% item response rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Other sources of funding included Substance Abuse and Mental Health Services Administration, donations, civic organizations, board of mental health, Medicaid, United Way, bar association, tribal funding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes other courts not shown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
