Bureau of Justice Statistics,,,,,,,
Filename: cpsc12at18.csv,,,,,,,
"Appendix table 18. Standard errors for table 11: Successful program completion, by type of problem-solving court, 2012",,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 09/07/2016,,,,,,,
,,,,,,,
"Appendix table 18. Standard errors for table 11: Successful program completion, by type of problem-solving court, 2012",,,,,,,
Type of court,,None,1–25%,26–50%,51–75%,76–99%,100%
,All courts,0.16,0.14,0.27,0.28,0.23,0.18
Drug,,0.19,0.18,0.37,0.37,0.24,0.17
Mental health,,0.5,0.44,0.81,0.82,0.65,0.48
Family,,0.63,0.68,1.04,0.88,0.64,0.48
Youth specialty,,0.5,0.5,0.96,1.37,1.72,1.41
Hybrid DWI/drug,,0.42,0.45,1.12,1.25,0.87,0.65
DWI,,0.31,0.1,0.36,0.56,0.58,0.35
Domestic violence,,1.5,1.2,1.5,1.39,1.66,1.03
Veterans,,1.25,0.33,1.1,1.33,1.31,0.89
Tribal wellness,,4.14,2.88,4.14,3.83,2.1,2.88
Other,,1.51,0.99,1.82,2.06,1.68,1.73
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,
