Bureau of Justice Statistics,,,,,,,,,,,
Filename: cpsc12at19.csv,,,,,,,,,,,
"Appendix table 19. Standard errors for table 12: Benefits of successful program completion, by type of problem-solving court, 2012",,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 19. Standard errors for table 12: Benefits of successful program completion, by type of problem-solving court, 2012",,,,,,,,,,,
Type of court,,Case dismissed,,Sentence suspended,,Record expunged,,Expedited settlement,,Other,
,All courts,0.27,%,0.26,%,0.24,%,0.18,%,0.26,%
Drug,,0.35,,0.37,,0.33,,0.19,,0.34,
Mental health,,0.72,,0.82,,0.68,,0.53,,0.74,
Family ,,1.01,,0.62,,0.38,,0.96,,1,
Youth specialty,,1.29,,0.96,,1.44,,0.6,,1.17,
Hybrid DWI/drug,,1.22,,1.23,,1.06,,0.85,,1.19,
DWI,,0.4,,0.58,,0.24,,0.3,,0.58,
Domestic violence,,1.27,,1.25,,1.05,,0.85,,1.26,
Veterans,,1.01,,1.25,,1.05,,0.81,,1.21,
Tribal wellness,,3.52,,4.07,,3.52,,1.74,,2.41,
Other,,1.92,,1.83,,1.3,,1.22,,1.94,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,
