Bureau of Justice Statistics,
Filename: cpsc12f04.csv,
"Figure 4. Tracking participant progress after successful program completion, by type of problem-solving court, 2012",
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",
"Data source: Census of Problem-Solving Courts, 2012",
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",
Refer questions to: askbjs@usdoj.gov   202-307-0765,
Date of version: 09/07/2016,
,
"Figure 4. Tracking participant progress after successful program completion, by type of problem-solving court, 2012",
,
Type of court,Percent of courts
All courts,44.1
Drug,50.6
Mental health,42.6
Family ,42.3
Youth specialty,27.1
Hybrid DWI/drug/a,50
DWI,58.8
Domestic violence,11.3
Veterans,41
Tribal wellness,39.1
Other/b,32.5
Note: Percentages are based on 97.0% item response rate. See appendix table 20 for standard errors. ,
a/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,
b/Includes other courts not shown.,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",
