Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: cpsc12t03.csv,,,,,,,,,,,,,
"Table 3. Year problem-solving courts active in 2012 were established, by type of court",,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 3. Year problem-solving courts active in 2012 were established, by type of court",,,,,,,,,,,,,
Type of court,,Total,,1989–95,,1996–2000,,2001–05,,2006–10,,2011–12,
,All courts,100,%,5.1,%,17,%,31.2,%,34.4,%,12.2,%
Drug,,100,%,5.4,,22.9,,35.5,,28.2,,7.9,
Mental health,,100,%,1.5,,7.5,,27.3,,51.4,,12.3,
Family,,100,%,1.5,,8.8,,41.4,,40.6,,7.7,
Youth specialty,,100,%,22.2,,26.8,,15.5,,25.1,,10.5,
Hybrid DWI/drug/a,,100,%,2.8,,17.5,,42.9,,29,,7.8,
DWI,,100,%,0,,7.7,,20.2,,53.6,,18.6,
Domestic violence,,100,%,5.4,,15.6,,34.7,,35.3,,9,
Veterans,,100,%,0.8,,3.1,,4.6,,36.6,,55,
Tribal wellness,,100,%,0,,18.8,,31.2,,34.4,,15.6,
Other/b,,100,%,4.1,,7.6,,24.8,,37.9,,25.5,
Note: Detail may not sum to total due to rounding. Percentages are based on 99.4% item response rate. See appendix table 1 for standard errors.,,,,,,,,,,,,,
a/Handles alcohol- or drug-dependent offenders also charged with a driving offense. ,,,,,,,,,,,,,
b/Includes other courts not shown.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,
