Bureau of Justice Statistics,,,,,,,,,,,
Filename: cpsc12t04.csv,,,,,,,,,,,
"Table 4. Point of entry into problem-solving courts, by type of court, 2012",,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,
,,,,,,,,,,,
"Table 4. Point of entry into problem-solving courts, by type of court, 2012",,,,,,,,,,,
,,,,,,Post-sentence ,,,,,
Type of court,,Pre-plea or at case filing,,Post-plea,,or post-release/a,,Judicial order,,Other/b,
,All courts ,35.5,%,65.1,%,35.7,%,8.5,%,2.4,%
Drug ,,27.1,,73.9,,44.5,,2.1,,0.9,
Mental health,,44.1,,73.1,,41.1,,3.7,,0.7,
Family ,,43.3,,16.1,,12.1,,60.7,,10.7,
Youth specialty,,49.5,,54.3,,11.7,,3.2,,6.4,
Hybrid DWI/drug/c,,24,,85.4,,40.1,,1.6,,0.5,
DWI,,14.7,,68.4,,41.2,,2.3,,1.1,
Domestic violence,,72.8,,39.1,,14.6,,15.9,,2,
Veterans,,46.3,,81,,27.3,,2.5,,3.3,
Tribal wellness,,29.2,,83.3,,54.2,,16.7,,0,
Other/d,,49.2,,45.8,,36.7,,7.5,,4.2,
Note: Detail may sum to more than 100% because multiple responses were allowed. Percentages are based on 96.6% item response rate.,,,,,,,,,,,
a/Includes entry after violation or revocation of parole. ,,,,,,,,,,,
"b/Includes acceptance on a case-by-case basis, post-referral from outside agency, entry after child adjudicated dependent, and entry after admitting to impaired ability ",,,,,,,,,,,
to care for child.,,,,,,,,,,,
c/Handles alcohol- or drug-dependent offenders also charged with a driving offense. ,,,,,,,,,,,
d/Includes other courts not shown.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,
