Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cpsc12t08.csv,,,,,,,,,,,,,,,
"Table 8. Preliminary reviews and attendance, by type of problem-solving court, 2012",,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 8. Preliminary reviews and attendance, by type of problem-solving court, 2012",,,,,,,,,,,,,,,
,,Preliminary ,,,,,,,,,,,,,
Type of court,,review was held/a,,Judge,,Prosecutor,,Defense attorney,,Service provider,,Probation officer,,Law enforcement officer,
,All courts,87.9,%,92.5,%,79,%,79,%,92.5,%,89.3,%,39.7,%
Drug,,96.7,,96,,83.6,,83.5,,92,,93.6,,45.3,
Mental health,,93.3,,89.5,,78.7,,81.9,,96.8,,86.3,,22.4,
Family ,,97.8,,91.9,,62.9,,71,,95,,76.5,,17.6,
Youth specialty/b,,40.2,,54,,39.5,,32.9,,76.3,,55.3,,26.3,
Hybrid DWI/drug/c,,97.9,,98.9,,82.4,,80.3,,97.3,,96.8,,58.5,
DWI,,97.2,,97.1,,85.5,,84.3,,94.8,,96.5,,52.3,
Domestic violence/b,,45.4,,72.5,,81.2,,59.4,,76.8,,81.2,,15.9,
Veterans,,91.8,,93.8,,90.2,,92,,92.9,,95.5,,40.2,
Tribal wellness,,100,,100,,87.5,,75,,100,,95.8,,70.8,
Other/d,,72.5,,82.8,,62.1,,64.4,,88.5,,77,,33.3,
Note: Detail may not sum to total due to rounding. See appendix table 5 for standard errors. Percentages are based on 85.2% item response rate.,,,,,,,,,,,,,,,
a/Percentages are based on 96.9% item response rate. ,,,,,,,,,,,,,,,
b/Percentages for officials attending preliminary reviews are based on less than 50% item response rate. Interpret with caution. ,,,,,,,,,,,,,,,
c/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,,,,
d/Includes other courts not shown.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,
