Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: cpsc12t09.csv,,,,,,,,,,,,,,,,
"Table 9. Size characteristics of drug and mental health problem-solving courts, by type of court and population served, 2012",,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 9. Size characteristics of drug and mental health problem-solving courts, by type of court and population served, 2012",,,,,,,,,,,,,,,,
,,,,Drug courts,,,,,,,Mental health courts,,,,,
Court size,,All courts,,Total,,Adult*,,Juvenile,,,Total,,Adult*,,Juvenile,
Capacity/a,,100,%,100,%,100,%,100,%,,100,%,100,%,100,%
,9 or fewer,3.2,,2.1,,0.9,,5.4,**,,2,,1.5,,6.5,**
,10–19,17.1,,16.1,,9.2,,35.1,**,,17.3,,14.4,,41.9,**
,20–49,40.4,,42.2,,40.1,,48.2,**,,45.8,,45.5,,48.4,
,50–99,20.1,,21.7,,26.8,,7.7,**,,20.7,,22.7,,3.2,**
,100 or more,19.2,,17.9,,23.1,,3.6,**,,14.2,,15.9,,0,**
Active participants,,100,%,100,%,100,%,100,%,,100,%,100,%,100,%
,9 or fewer,18.5,,17.8,,10.4,,38.7,**,,16.2,,13.6,,38.7,**
,10–19,22.1,,22.1,,17.6,,35,**,,21.8,,20.6,,32.3,**
,20–49,30.6,,33.2,,37.7,,20.7,**,,38,,39.3,,25.8,**
,50–99,13.5,,14.1,,17.9,,3.5,**,,11.6,,12.5,,3.2,**
,100 or more,15.3,,12.7,,16.5,,2.2,**,,12.5,,14,,0,**
"Note: Includes data from January 1 to December 31, 2012. Detail may not sum to total due to rounding. Percentages for capacity are based on item response rates of 94.9% for drug and 95.0% for mental health courts. Percentages for active participants are based on item response rates of 98.6% for drug and 97.3% for mental health courts. See appendix table 8 for standard errors.",,,,,,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,,,,,,
**Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,,,,,,,
a/Defined as the amount of participants the program can treat at any one time.,,,,,,,,,,,,,,,,
