Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: cpsc12t11.csv,,,,,,,,,,,,,,
"Table 11. Successful program completion, by type of problem-solving court, 2012",,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 11. Successful program completion, by type of problem-solving court, 2012",,,,,,,,,,,,,,
Type of court,,Total number ,,,,,,,,,,,,
,,of courts/a,None,,1–25%,,26–50%,,51–75%,,76–99%,,100%,
All courts/b,,"2, 447",7.9,%,5.5,%,29.2,%,32.1,%,17.1,%,8.2,%
,Drug,"1,148",6.7,,5.6,,35.2,,35.8,,10.9,,5.8,
,Mental health,268,8.9,,6.5,,30,,30.8,,15.8,,8.1,
,Family ,227,9.7,,11.7,,40.8,,22.3,,10.2,,5.3,
,Youth specialty,171,2.1,,2.1,,8.5,,19.7,,46.5,,21.1,
,Hybrid DWI/drug/c,199,2.8,,3.4,,27.7,,44.6,,14.1,,7.3,
,DWI,158,7.1,,0.6,,10.3,,32.3,,40,,9.7,
,Domestic violence/d,68,19.4,,11.3,,19.4,,16.1,,25.8,,8.1,
,Veterans/e,90,21.7,,1.2,,15.7,,26.5,,25.3,,9.6,
,Tribal wellness,23,26.3,,10.5,,26.3,,21.1,,5.3,,10.5,
,Other/f,96,12.5,,5,,20,,28.8,,16.3,,17.5,
Note: Detail may not sum to total due to rounding. See appendix table 18 for standard errors.,,,,,,,,,,,,,,
a/Based on the weighted responses and rounded to the nearest whole number. ,,,,,,,,,,,,,,
b/Percentages are based on 80.2% item response.,,,,,,,,,,,,,,
c/Handles alcohol- or drug-dependent offenders also charged with a driving offense.,,,,,,,,,,,,,,
d/Percentages are based on 40% item response rate. Interpret with caution.,,,,,,,,,,,,,,
e/Percentages are based on less than 70% item response. Interpret with caution.,,,,,,,,,,,,,,
f/Includes other courts not shown.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,
